"","cue","coverage","H","unknown","N"
"1","a",92.7835051546392,3.03812048952373,3,100
"2","aardvark",91.3978494623656,2.44347886250511,7,100
"3","abacus",90.4255319148936,2.87950671789897,6,100
"4","abandon",94,2.60850122795317,0,100
"5","abbey",88.7755102040816,2.9534388607225,2,100
"6","abbreviation",69.0721649484536,2.47342967785691,3,100
"7","abdicate",84.7826086956522,3.19734667763016,8,100
"8","abdomen",92.9292929292929,2.24159026264039,1,100
"9","abduct",94.8453608247423,2.45333127568844,3,100
"10","abduction",92.4731182795699,2.50768269907821,7,100
"11","Abel",82.2222222222222,1.80820703819567,10,100
"12","abhor",91.9540229885057,1.56987322328325,13,100
"13","abide",92.4731182795699,3.20715748578235,7,100
"14","ability",91.5789473684211,3.4528969571543,5,100
"15","able",82.4742268041237,2.92101709237396,3,100
"16","abnormal",93.8775510204082,2.88404939670283,2,100
"17","abode",98.8235294117647,1.69869495350319,15,100
"18","Aboriginal",93.75,2.33357205045542,4,100
"19","aborigine",90.4255319148936,2.082015772756,6,100
"20","abortion",94,3.22428793968682,0,100
"21","about",92.9292929292929,3.49818969040249,1,100
"22","above",99,2.37987144465837,0,100
"23","abrasive",84.375,2.98980265884849,4,100
"24","abroad",96,2.99256265288122,0,100
"25","abrupt",93.9393939393939,2.74586903465552,1,100
"26","abs",82.6530612244898,3.40725847296602,2,100
"27","absence",85.5670103092783,3.40300497887813,3,100
"28","absent",94.7916666666667,3.10438397981484,4,100
"29","absolute",95.959595959596,3.52637649633757,1,100
"30","absolutely",94.9494949494949,3.08982004512522,1,100
"31","absorb",81.4432989690722,3.23768519268938,3,100
"32","absorbent",86,2.83792671238912,0,100
"33","abstain",88.7755102040816,3.44922462106349,2,100
"34","abstract",88.7755102040816,3.40006866863707,2,100
"35","absurd",90.8163265306122,2.69591300835413,2,100
"36","abundance",95.7894736842105,3.29733117869925,5,100
"37","abundant",93.8144329896907,3.18324618261274,3,100
"38","abuse",94,3.32530591416283,0,100
"39","abusive",92,3.68914168257694,0,100
"40","academia",93.6842105263158,2.62281191052086,5,100
"41","academic",96,3.18139236230056,0,100
"42","academy",85,2.70420177967447,0,100
"43","accelerate",95.959595959596,2.45767650493928,1,100
"44","acceleration",96,2.21677869992886,0,100
"45","accent",84.6938775510204,3.6001853452959,2,100
"46","accept",95.959595959596,3.48470968033917,1,100
"47","acceptable",87.5,3.34230584325012,4,100
"48","acceptance",90.9090909090909,3.86204161991911,1,100
"49","accepted",71.7171717171717,3.94048115513343,1,100
"50","access",81.6326530612245,3.5799938761742,2,100
"51","accessory",88,3.41666522046971,0,100
"52","accident",93,2.9768561481934,0,100
"53","accompany",87.3684210526316,3.33695053961921,5,100
"54","accomplish",96.969696969697,3.06720304255722,1,100
