"","cue","coverage","H","unknown","xR2","xR3","N"
"1","a",92.5925925925926,4.01501203349879,3,8,5,300
"2","aardvark",88.212927756654,3.90130243177958,7,3,10,300
"3","abacus",83.9416058394161,3.73366887808011,6,1,6,300
"4","abandon",89.8916967509025,4.01097925798602,0,5,13,300
"5","abbey",84.3971631205674,4.00070999165763,2,4,4,300
"6","abbreviation",67.5471698113208,4.17561903766467,3,6,14,300
"7","abdicate",84.7736625514403,3.8468748448484,8,11,11,300
"8","abdomen",87.8048780487805,3.69036906627323,1,1,8,300
"9","abduct",94.0959409594096,3.56593880844399,3,5,10,300
"10","abduction",87.9032258064516,3.87744421364008,7,12,7,300
"11","Abel",68.6440677966102,3.27402986451456,10,12,10,300
"12","abhor",87.280701754386,3.18944278521832,13,11,11,300
"13","abide",89.4736842105263,4.07919924699914,7,15,21,300
"14","ability",93.0769230769231,4.26916521230172,5,5,15,300
"15","able",82.4626865671642,3.85623811500279,3,6,11,300
"16","abnormal",89.9641577060932,3.93341262696497,2,2,11,300
"17","abode",93.9271255060729,3.11924163735991,15,1,6,300
"18","Aboriginal",85.036496350365,3.788679507124,4,3,8,300
"19","aborigine",86.5671641791045,3.38355149749758,6,1,12,300
"20","abortion",88.8888888888889,4.23606155747542,0,5,2,300
"21","about",87.8228782287823,4.3007893173856,1,6,14,300
"22","above",95.1890034364261,3.75338977749707,0,1,7,300
"23","abrasive",82.5,4.21069534579937,4,1,6,300
"24","abroad",93.2659932659933,3.93857266104593,0,0,3,300
"25","abrupt",90.8771929824562,3.7690510116148,1,3,6,300
"26","abs",81.5972222222222,4.10343234634661,2,1,4,300
"27","absence",86.0294117647059,4.16577936965985,3,4,11,300
"28","absent",88.4476534296029,3.94263347081746,4,0,11,300
"29","absolute",91.2280701754386,4.22047550999616,1,0,12,300
"30","absolutely",90.2173913043478,4.06194337350423,1,4,13,300
"31","absorb",88,4.16359365670022,3,3,10,300
"32","absorbent",86.3636363636364,3.79081986114546,0,3,8,300
"33","abstain",85.5595667870036,4.41083427340612,2,4,9,300
"34","abstract",85.4545454545455,4.48154720267239,2,5,9,300
"35","absurd",85.7651245551601,3.84930068529774,2,2,9,300
"36","abundance",92.7797833935018,4.28823350783784,5,2,4,300
"37","abundant",90.0369003690037,4.34768424619109,3,5,10,300
"38","abuse",91.7808219178082,4.28191102357111,0,0,8,300
"39","abusive",90.6716417910448,4.5913275620873,0,10,12,300
"40","academia",90.5797101449275,3.79815324078988,5,0,9,300
"41","academic",92.1501706484642,4.19641614377847,0,1,5,300
"42","academy",85.0847457627119,4.01884698380117,0,1,3,300
"43","accelerate",92.0415224913495,3.41192872898312,1,2,4,300
